Open,High,Low,Close,Adj Close,Volume,Open: 10 days rolling,Open: 30 days rolling,Open: 50 days rolling
1.2666670083999634,1.6666669845581055,1.1693329811096191,1.5926669836044312,1.5926669836044312,281494500,1.2666670083999634,1.2666670083999634,1.2666670083999634
1.7193330526351929,2.0280001163482666,1.553333044052124,1.5886670351028442,1.5886670351028442,257806500,1.4930000305175781,1.4930000305175781,1.4930000305175781
1.6666669845581055,1.7280000448226929,1.3513330221176147,1.4639999866485596,1.4639999866485596,123282000,1.550889015197754,1.550889015197754,1.550889015197754
1.5333329439163208,1.5399999618530273,1.24733304977417,1.2799999713897705,1.2799999713897705,77097000,1.5464999973773956,1.5464999973773956,1.5464999973773956
1.3333330154418945,1.3333330154418945,1.0553330183029175,1.0740000009536743,1.0740000009536743,103003500,1.5038666009902955,1.5038666009902955,1.5038666009902955
1.0933330059051514,1.108667016029358,0.9986670017242432,1.053333044052124,1.053333044052124,103825500,1.4354443351427715,1.4354443351427715,1.4354443351427715
1.0759999752044678,1.1679999828338623,1.0379999876022339,1.1640000343322754,1.1640000343322754,115671000,1.3840951408658708,1.3840951408658708,1.3840951408658708
1.1720000505447388,1.1933330297470093,1.1033329963684082,1.159999966621399,1.159999966621399,60759000,1.3575832545757294,1.3575832545757294,1.3575832545757294
1.196666955947876,1.2046669721603394,1.1333329677581787,1.136667013168335,1.136667013168335,33037500,1.3397036658393011,1.3397036658393011,1.3397036658393011
1.1593329906463623,1.2426669597625732,1.1266670227050781,1.2093329429626465,1.2093329429626465,40201500,1.3216665983200073,1.3216665983200073,1.3216665983200073
1.1959999799728394,1.3433330059051514,1.184000015258789,1.3226670026779175,1.3226670026779175,62928000,1.3145998954772948,1.3102423602884465,1.3102423602884465
1.329332947731018,1.4333330392837524,1.2666670083999634,1.3259999752044678,1.3259999752044678,56097000,1.2755998849868775,1.3118332425753276,1.3118332425753276
1.3799999952316284,1.4199999570846558,1.3366669416427612,1.3760000467300415,1.3760000467300415,39319500,1.2469331860542296,1.3170768389335046,1.3170768389335046
1.4246670007705688,1.4833329916000366,1.3946670293807983,1.4606670141220093,1.4606670141220093,37297500,1.2360665917396545,1.3247618504932948,1.3247618504932948
1.4566669464111328,1.4566669464111328,1.3366669416427612,1.3533329963684082,1.3533329963684082,27379500,1.2483999848365783,1.333555523554484,1.333555523554484
1.3773330450057983,1.3933329582214355,1.2999999523162842,1.3480000495910645,1.3480000495910645,18787500,1.276799988746643,1.3362916186451912,1.3362916186451912
1.3666670322418213,1.4166669845581055,1.3580000400543213,1.399999976158142,1.399999976158142,14367000,1.3058666944503785,1.3380784076802872,1.3380784076802872
1.4126670360565186,1.4373329877853394,1.4040000438690186,1.4193329811096191,1.4193329811096191,9804000,1.3299333930015564,1.3422222203678555,1.3422222203678555
1.4333330392837524,1.4333330392837524,1.3533329963684082,1.3966670036315918,1.3966670036315918,13833000,1.3536000013351441,1.347017526626587,1.347017526626587
1.3940000534057617,1.4119999408721924,1.3506669998168945,1.3700000047683716,1.3700000047683716,9295500,1.377066707611084,1.3493666529655457,1.3493666529655457
1.3700000047683716,1.3933329582214355,1.3673330545425415,1.3813329935073853,1.3813329935073853,7008000,1.3944667100906372,1.350349193527585,1.350349193527585
1.3846670389175415,1.3919999599456787,1.3333330154418945,1.3566670417785645,1.3566670417785645,9240000,1.4000001192092895,1.3519090955907649,1.3519090955907649
1.3466670513153076,1.3626669645309448,1.303333044052124,1.329332947731018,1.329332947731018,6403500,1.3966668248176575,1.3516811806222666,1.3516811806222666
1.3666670322418213,1.3980000019073486,1.3553329706192017,1.3946670293807983,1.3946670293807983,10771500,1.3908668279647827,1.3523055911064148,1.3523055911064148
1.399999976158142,1.463333010673523,1.3880000114440918,1.463333010673523,1.463333010673523,18457500,1.3852001309394837,1.354213366508484,1.354213366508484
1.463333010673523,1.4786670207977295,1.3899999856948853,1.4173330068588257,1.4173330068588257,13695000,1.3938001275062561,1.358410275899447,1.358410275899447
1.4359999895095825,1.4366669654846191,1.3366669416427612,1.363332986831665,1.363332986831665,11943000,1.4007334232330322,1.3612839689961187,1.3612839689961187
1.340000033378601,1.343999981880188,1.301332950592041,1.305999994277954,1.305999994277954,11128500,1.3934667229652404,1.36052382843835,1.36052382843835
1.3266669511795044,1.3320000171661377,1.2966669797897339,1.3066669702529907,1.3066669702529907,12190500,1.3828001141548156,1.359356349912183,1.359356349912183
1.309999942779541,1.309999942779541,1.254667043685913,1.2686669826507568,1.2686669826507568,19219500,1.3744001030921935,1.357711136341095,1.357711136341095
1.246000051498413,1.2586669921875,1.190000057220459,1.1933330297470093,1.1933330297470093,11964000,1.3620001077651978,1.35702223777771,1.354107552959073
1.1866669654846191,1.1933330297470093,1.1593329906463623,1.1733330488204956,1.1733330488204956,10365000,1.3422001004219055,1.3392667015393576,1.3488750346004963
1.2120000123977661,1.2300000190734863,1.1773329973220825,1.2213330268859863,1.2213330268859863,9510000,1.3287333965301513,1.3241111358006796,1.344727306654959
1.2300000190734863,1.2533329725265503,1.2173329591751099,1.2519999742507935,1.2519999742507935,7287000,1.3150666952133179,1.3140000383059183,1.3413529746672685
1.2640000581741333,1.2933330535888672,1.2519999742507935,1.2766669988632202,1.2766669988632202,6718500,1.301466703414917,1.3116889397303264,1.3391428913388934
1.305999994277954,1.305999994277954,1.2400000095367432,1.2513329982757568,1.2513329982757568,9019500,1.28573340177536,1.3187778393427532,1.3382222553094227
1.2359999418258667,1.2833329439163208,1.222000002861023,1.25266695022583,1.25266695022583,8686500,1.2657333970069886,1.3241111715634664,1.3354594900801375
1.2433329820632935,1.2740000486373901,1.2339999675750732,1.273332953453064,1.273332953453064,4440000,1.2560666918754577,1.3264889359474181,1.3330351082902205
1.2726670503616333,1.3593330383300781,1.2666670083999634,1.3420000076293945,1.3420000076293945,16321500,1.2506667017936706,1.3290222724278768,1.3314872093689747
1.2833329439163208,1.3140000104904175,1.2633329629898071,1.2799999713897705,1.2799999713897705,10096500,1.2480000019073487,1.3331556042035422,1.3302833527326583
1.2773330211639404,1.3320000171661377,1.237333059310913,1.3266669511795044,1.3266669511795044,7549500,1.2511332988739015,1.3358667055765787,1.3289918812309824
1.3259999752044678,1.3513330221176147,1.3066669702529907,1.3166669607162476,1.3166669607162476,6507000,1.2650665998458863,1.3357556064923604,1.328920645373208
